利用	りよう
議長	ぎちょう
試み	こころみ
世帯	せたい|しょたい|じょたい
特急	とっきゅう
米軍	べいぐん
お笑い	おわらい
飲料	いんりょう|のみりょう
課長	かちょう
給付	きゅうふ
法令	ほうれい
光景	こうけい
商標	しょうひょう
笑う	わらう|わろう
有無	うむ
教材	きょうざい
考察	こうさつ
落札	らくさつ
手続	てつづき
産地	さんち
付く	つく|づく
祝日	しゅくじつ
健全	けんぜん
一種	いっしゅ
達し	たっし
残す	のこす
冷静	れいせい
自覚	じかく
助成	じょせい
長官	ちょうかん
信者	しんじゃ
戦う	たたかう|たたこう
観客	かんきゃく
戦国	せんごく
業種	ぎょうしゅ
見積り	みつもり
飛ぶ	とぶ
大戦	たいせん
観戦	かんせん
景観	けいかん
松山	まつやま
重量	じゅうりょう
不幸	ふこう
天候	てんこう
持参	じさん
順調	じゅんちょう
外観	がいかん
理念	りねん
録画	ろくが
生成	せいせい
内側	うちがわ|ないそく
食料	しょくりょう
器具	きぐ
手順	てじゅん
五輪	ごりん
昨夜	さくや|ゆうべ
飛行	ひこう
変身	へんしん
送付	そうふ
教養	きょうよう
祝い	いわい|ほい
右側	みぎがわ|うそく
成人	せいじん
究極	きゅうきょく
飛ばし	とばし
地位	ちい
結成	けっせい
争い	あらそい|あらがい
兵器	へいき
持続	じぞく
結ぶ	むすぶ
養成	ようせい
合唱	がっしょう
芸人	げいにん
海軍	かいぐん
参院	さんいん
大陸	たいりく
調達	ちょうたつ
牧場	ぼくじょう|まきば
有利	ゆうり
特産	とくさん
手伝い	てつだい
左側	ひだりがわ|さそく
各社	かくしゃ
側面	そくめん
古典	こてん
公的	こうてき
工芸	こうげい
陸上	りくじょう
笑み	えみ
加速	かそく
給食	きゅうしょく
初代	しょだい
気候	きこう
選定	せんてい
最中	もなか|さいちゅう|さなか
飛び	とび
水産	すいさん
園芸	えんげい
浴衣	ゆかた
地帯	ちたい
協定	きょうてい
固め	かため|がため
司会	しかい
通貨	つうか
伝わる	つたわる
残業	ざんぎょう
熱心	ねっしん
標高	ひょうこう
観る	みる
未だ	いまだ|まだ
満開	まんかい
折れ	おれ
借りる	かりる
血管	けっかん
参戦	さんせん
調節	ちょうせつ
共感	きょうかん
貨物	かもつ|かぶつ
要する	ようする
分岐	ぶんき
選べる	えらべる
覚える	おぼえる
節約	せつやく
数量	すうりょう
果て	はて
指標	しひょう
隊長	たいちょう
小児	しょうに
客観	きゃっかん|かっかん
結合	けつごう
お好み焼き	おこのみやき
決議	けつぎ
浴場	よくじょう
選考	せんこう
各号	かくごう
漁業	ぎょぎょう
目覚め	めざめ
事典	じてん
果実	かじつ
関数	かんすう
変形	へんけい
例外	れいがい
民家	みんか
冷え	ひえ|つめてえ|つべてえ
果物	くだもの
加える	くわえる
協同	きょうどう
特有	とくゆう
木材	もくざい
小倉	おぐら
工法	こうほう
飛び出し	とびだし
分散	ぶんさん
学的	がくてき
民宿	みんしゅく
愛用	あいよう
加算	かさん
信じる	しんじる
必見	ひっけん
法的	ほうてき
関わり	かかわり
差し	さし|ざし
良し	よし
達人	たつじん
機体	きたい
例年	れいねん
合戦	かっせん|がっせん
夫人	ふじん|ぷじん
近辺	きんぺん
加熱	かねつ
例え	たとえ
軽量	けいりょう
連動	れんどう
戦場	せんじょう|いくさば
食器	しょっき
付加	ふか
順次	じゅんじ
動機	どうき
部位	ぶい
願う	ねがう|ねごう
積ん	つん|つもん
失業	しつぎょう
結び	むすび
外側	そとがわ
待機	たいき
上陸	じょうりく
群れ	むれ
案外	あんがい
見積	みつもり
改定	かいてい
海老	えび
望み	のぞみ
戦力	せんりょく
満点	まんてん
人参	にんじん
完結	かんけつ
泣く	なく
戦前	せんぜん
指輪	ゆびわ
一連	いちれん
始末	しまつ
特例	とくれい
夜景	やけい
機動	きどう
末期	まっき|まつご
不便	ふべん
連想	れんそう
共和	きょうわ
隊員	たいいん
味覚	みかく
選出	せんしゅつ
特化	とっか
主観	しゅかん
有害	ゆうがい
完売	かんばい
欠け	かけ
不法	ふほう
戸建て	こだて
戦車	せんしゃ
包丁	ほうちょう|ぼうちょう
連発	れんぱつ
北側	きたがわ
各自	かくじ
果たす	はたす
好調	こうちょう
人種	じんしゅ
味付け	あじつけ
司令	しれい
焼く	やく
発覚	はっかく
議案	ぎあん
陸軍	りくぐん
特色	とくしょく
愛犬	あいけん
昨今	さっこん
対照	たいしょう
人民	じんみん
伝達	でんたつ
日焼け	ひやけ
焼け	やけ
必然	ひつぜん
不当	ふとう
西側	にしがわ
失う	うしなう|うしのう|のう
特長	とくちょう
連日	れんじつ
省エネ	しょうえね
改め	あらため
軍隊	ぐんたい
種別	しゅべつ
参画	さんかく
右折	うせつ
笑える	わらえる
道徳	どうとく
小松	こまつ
一望	いちぼう
参入	さんにゅう
便り	たより|だより
子孫	しそん
失点	しってん
直径	ちょっけい
改札	かいさつ
祝福	しゅくふく
所要	しょよう
式典	しきてん
浅い	あさい
香水	こうすい
共産	きょうさん
治安	ちあん
戸建	こだて
商法	しょうほう
帰省	きせい
定例	ていれい
南側	みなみがわ
単身	たんしん
英数字	えいすうじ
上達	じょうたつ
友好	ゆうこう
初夏	しょか
左折	させつ
浴室	よくしつ
植民	しょくみん
極上	ごくじょう
部材	ぶざい
今季	こんき
民事	みんじ
欠点	けってん
農民	のうみん
時折	ときおり
良品	りょうひん
満たし	みたし
共生	きょうせい
受給	じゅきゅう
機材	きざい
望ましい	のぞましい
縄文	じょうもん
未定	みてい
満たす	みたす
日差し	ひざし
固有	こゆう
焼き鳥	やきとり
連勝	れんしょう
戦隊	せんたい
出願	しゅつがん
英文	えいぶん
観念	かんねん
題材	だいざい
省令	しょうれい
特選	とくせん
市街	しがい
不利	ふり
仲良し	なかよし
井戸	いど
不問	ふもん
待望	たいぼう
包み	つつみ|くるみ|ずつみ
軍人	ぐんじん
無理やり	むりやり
会席	かいせき
徒然	とぜん|つれづれ
失い	うしない|ない
日産	にっさん
勇者	ゆうしゃ
敗戦	はいせん
周知	しゅうち
時給	じきゅう
一昨日	おとつい|おととい
利便	りべん
東側	ひがしがわ
半径	はんけい
敗北	はいぼく
不調	ふちょう|ぶちょう
競売	きょうばい|けいばい|せりうり
置き場	おきば
発熱	はつねつ
文法	ぶんぽう
建立	こんりゅう
試作	しさく
無言	むごん
外貨	がいか
最短	さいたん
街中	まちなか
無理矢理	むりやり
信念	しんねん
漁港	ぎょこう
別名	べつめい|べつみょう
折り返し	おりかえし
無知	むち
少量	しょうりょう
建てる	たてる|だてる
お参り	おまいり
積み重ね	つみかさね
試食	ししょく
議決	ぎけつ
県産	けんさん
車種	しゃしゅ
初めまして	はじめまして
決戦	けっせん
付着	ふちゃく
夕飯	ゆうはん|ゆうめし
帯び	おび
熱中	ねっちゅう
山菜	さんさい
一帯	いったい
連帯	れんたい
周期	しゅうき
愛車	あいしゃ
愛好	あいこう
歯周	ししゅう
積み	つみ|づみ
単行	たんこう
気付く	きづく
説教	せっきょう
良心	りょうしん
好感	こうかん
名付け	なづけ
気付き	きづき
治る	なおる|おさまる
取付	とりつけ
文芸	ぶんげい
物産	ぶっさん
たこ焼き	たこやき
海底	かいてい
満員	まんいん
栄光	えいこう
好意	こうい
新卒	しんそつ
最小	さいしょう
結末	けつまつ
達する	たっする
低温	ていおん
生協	せいきょう
成形	せいけい
残高	ざんだか
念願	ねんがん
直結	ちょっけつ
点灯	てんとう
種目	しゅもく
成る	なる
松原	まつばら
苦戦	くせん
折角	せっかく
客席	きゃくせき
目録	もくろく
出典	しゅってん
量産	りょうさん
万博	ばんぱく
変数	へんすう
集約	しゅうやく
一昨年	おととし
管内	かんない
未知	みち
終戦	しゅうせん
種子	しゅし
利点	りてん
首位	しゅい
愛子	いとしご|まなご
給水	きゅうすい
無数	むすう|むしゅ
加害	かがい
教訓	きょうくん
希少	きしょう
戦時	せんじ
配管	はいかん
町民	ちょうみん
菜の花	なのはな
願望	がんぼう
同法	どうほう
法定	ほうてい
不動	ふどう
別表	べっぴょう
無くなる	なくなる
欠席	けっせき
折り	おり
挙げる	あげる
集積	しゅうせき
無用	むよう
花束	はなたば
続出	ぞくしゅつ
案の定	あんのじょう
最期	さいご
両側	りょうがわ|りょうそく
何卒	なにとぞ
議事	ぎじ
極力	きょくりょく
実例	じつれい
灯台	とうだい
法要	ほうよう
熱帯	ねったい
国旗	こっき
駅伝	えきでん
商材	しょうざい
建つ	たつ|だつ
協働	きょうどう
目印	めじるし
挙式	きょしき
相関	そうかん
実戦	じっせん
飛鳥	ひちょう
名産	めいさん
冬季	とうき
辞める	やめる
不信	ふしん
固い	かたい
栄え	さかえ|はえ|ばえ
最古	さいこ
改変	かいへん
初戦	しょせん
参道	さんどう
民法	みんぽう
交差	こうさ
単品	たんぴん
好物	こうぶつ
分別	ふんべつ|ぶんべつ
無人	むじん|むにん|ぶにん|ぶじん
単体	たんたい
飛ばす	とばす
照会	しょうかい
矢印	やじるし
菜園	さいえん
無茶	むちゃ
公約	こうやく
積雪	せきせつ
考案	こうあん
要約	ようやく
区民	くみん
消失	しょうしつ
養子	ようし
最長	さいちょう
一挙	いっきょ
街頭	がいとう
利息	りそく
市議	しぎ
努める	つとめる
満月	まんげつ
音量	おんりょう
察し	さっし
指令	しれい
老化	ろうか
協調	きょうちょう
景品	けいひん
司馬	しば
梅酒	うめしゅ
例会	れいかい
集結	しゅうけつ
治す	なおす
給油	きゅうゆ
清算	せいさん
夏季	かき
競合	きょうごう
多種	たしゅ
期末	きまつ
手札	てふだ|しゅさつ
組成	そせい
清流	せいりゅう
公害	こうがい
山城	やまじろ
共用	きょうよう
好む	このむ
不全	ふぜん
欠ける	かける
初級	しょきゅう
連立	れんりつ
家臣	かしん
着付け	きつけ
野望	やぼう
試練	しれん
極め	きわめ|きめ|ぎめ
戦線	せんせん
害虫	がいちゅう
満席	まんせき
付録	ふろく
海辺	うみべ|かいへん
最多	さいた
水辺	みずべ|すいへん
単発	たんぱつ
衣類	いるい
標本	ひょうほん
立案	りつあん
祭典	さいてん
最速	さいそく
議席	ぎせき
労組	ろうくみ|ろうそ
衣服	いふく
発芽	はつが
夕焼け	ゆうやけ
挙動	きょどう
学芸	がくげい
合法	ごうほう
月給	げっきゅう
的中	てきちゅう
漁船	ぎょせん
別館	べっかん
標的	ひょうてき
連敗	れんぱい
利子	りし
試写	ししゃ
課金	かきん
競走	きょうそう
不意	ふい
園児	えんじ
日付け	ひづけ
着陸	ちゃくりく
大佐	たいさ
産直	さんちょく
人的	じんてき
改名	かいめい
戦死	せんし
働きかけ	はたらきかけ
塩分	えんぶん
別人	べつじん
落選	らくせん
白菜	はくさい|しろな
強要	きょうよう
折りたたみ	おりたたみ
終結	しゅうけつ
高卒	こうそつ
水位	すいい
立法	りっぽう
老い	おい
電極	でんきょく
見極め	みきわめ
下位	かい
加筆	かひつ
灯り	ともり|あかり
便所	べんじょ
土器	どき|かわらけ
試乗	しじょう
事案	じあん
方位	ほうい
器用	きよう|ぎよう
愛着	あいちゃく|あいじゃく
好ましい	このましい
作法	さほう|さくほう
機内	きない
特約	とくやく
利害	りがい
発散	はっさん
水量	すいりょう
休養	きゅうよう
選別	せんべつ
成約	せいやく
計量	けいりょう
無休	むきゅう
大差	たいさ
電機	でんき
連打	れんだ
静止	せいし
着信	ちゃくしん
所管	しょかん
熱意	ねつい
必勝	ひっしょう
産学	さんがく
加わる	くわわる
初音	はつね
青梅	あおうめ
節目	ふしめ
原案	げんあん
老後	ろうご
争う	あらそう|あらがう|あらごう
散る	ちる
建材	けんざい
教官	きょうかん
改行	かいぎょう
焼き肉	やきにく
女児	じょじ
線香	せんこう
愛想	あいそ|あいそう
利回り	りまわり
石材	せきざい
散らし	ちらし
低音	ていおん
向こう側	むこうがわ
昼飯	ひるめし|ちゅうはん
祝う	いわう|いおう
照れ	てれ
給湯	きゅうとう
戦記	せんき
男児	だんじ
試料	しりょう
積み上げ	つみあげ
試算	しさん
安置	あんち
泣ける	なける
結集	けっしゅう
別物	べつもの
内陸	ないりく
続行	ぞっこう
試す	ためす
熱気	ねっき
議題	ぎだい
根底	こんてい
連行	れんこう
無名	むめい
有給	ゆうきゅう
同然	どうぜん
手芸	しゅげい
種族	しゅぞく
節分	せつぶん
通達	つうたつ
子連れ	こづれ
打席	だせき
差し入れ	さしいれ
最良	さいりょう
思案	しあん|じあん
伝票	でんぴょう
点差	てんさ
城主	じょうしゅ
単一	たんいつ
失調	しっちょう
光栄	こうえい
固体	こたい
教徒	きょうと
主席	しゅせき
労力	ろうりょく
赤旗	あかはた
要員	よういん
悪徳	あくとく
多岐	たき
産後	さんご
無力	むりょく
各駅	かくえき
社説	しゃせつ
変色	へんしょく
失望	しつぼう
歌唱	かしょう
念頭	ねんとう
分量	ぶんりょう
自給	じきゅう
極意	ごくい
差し出し	さしだし|さしいだし
各所	かくしょ
車輪	しゃりん
目覚まし	めざまし
浴びる	あびる
別れる	わかれる
産み	うみ
原付	げんつき
すき焼き	すきやき
参観	さんかん
唱える	となえる
衣料	いりょう
最上	さいじょう
初頭	しょとう
便器	べんき
競輪	けいりん
生き残り	いきのこり
部類	ぶるい
底辺	ていへん
心底	しんてい|しんそこ
赤松	あかまつ
大笑い	おおわらい
使徒	しと
前菜	ぜんさい
不二	ふじ
牧野	ぼくや
健やか	すこやか
無形	むけい
勝敗	しょうはい
景勝	けいしょう
改める	あらためる
原産	げんさん
外伝	がいでん
兵隊	へいたい
無印	むじるし
改悪	かいあく
伝送	でんそう
試行	しこう
多量	たりょう
建国	けんこく
完走	かんそう
覚まし	さまし|ざまし
法事	ほうじ
大卒	だいそつ
名残	なごり
不服	ふふく
極楽	ごくらく
定量	ていりょう
内祝い	うちいわい
量子	りょうし
街路	がいろ
号泣	ごうきゅう
借地	しゃくち
街角	まちかど
産物	さんぶつ
副業	ふくぎょう
養育	よういく
香料	こうりょう
無地	むじ
兆し	きざし
灯油	とうゆ
付け加え	つけくわえ
器官	きかん
便乗	びんじょう
包む	つつむ|くるむ
参列	さんれつ
共鳴	きょうめい
笑い声	わらいごえ
無念	ぶねん|むねん
競う	きそう|きおう
養う	やしなう|やしのう
英和	えいわ
信心	しんじん
未明	みめい
結界	けっかい
歩兵	ほへい|ふひょう
地産	ちさん
民話	みんわ
説く	とく
新選	しんせん
知覚	ちかく
入選	にゅうせん
民生	みんせい
食塩	しょくえん
養生	ようじょう
海兵	かいへい
文例	ぶんれい
折り紙	おりがみ
熱湯	ねっとう|あつゆ
用法	ようほう
取付け	とりつけ
酒類	しゅるい
望月	もちづき
県議	けんぎ
産科	さんか
信徒	しんと
積立	つみたて
願い事	ねがいごと
民放	みんぽう
本位	ほんい
争点	そうてん
周回	しゅうかい
土日祝	どにちしゅく
松竹	しょうちく
気功	きこう
漁協	ぎょきょう
群生	ぐんせい
愛読	あいどく
二輪	にりん
愛国	あいこく
産む	うむ
一変	いっぺん
長老	ちょうろう
後続	こうぞく
周遊	しゅうゆう
借家	しゃくや|しゃっか
借入	かりいれ
試飲	しいん
焼鳥	やきとり
伝道	でんどう
特大	とくだい
養老	ようろう
空軍	くうぐん
付け根	つけね
札所	ふだしょ
力量	りきりょう
月極	つきぎめ
試みる	こころみる
戦法	せんぽう
極東	きょくとう
開戦	かいせん
選曲	せんきょく
例える	たとえる
特記	とっき
福利	ふくり
塩焼き	しおやき
英数	えいすう
助産	じょさん
特訓	とっくん
観葉	かんよう
祝祭日	しゅくさいじつ
連ね	つらね
香ばしい	こうばしい
首輪	くびわ
飛来	ひらい
城内	じょうない
民芸	みんげい
反戦	はんせん
好き勝手	すきかって
店側	みせがわ
必読	ひつどく
電器	でんき
強固	きょうこ
冷戦	れいせん
配給	はいきゅう
別紙	べっし
放牧	ほうぼく
結束	けっそく|ゆいそく
働ける	はたらける
初歩	しょほ
梨花	りか
照合	しょうごう
好い	すい|いい|よい
春季	しゅんき
同好	どうこう
日清	にっしん
残暑	ざんしょ
一戦	いっせん
覚せい	かくせい
動的	どうてき
都城	とじょう
目覚める	めざめる
一節	いっせつ
消極	しょうきょく
電灯	でんとう
労使	ろうし
極める	きわめる|きめる
末日	まつじつ
生まれ変わり	うまれかわり
集大成	しゅうたいせい
台無し	だいなし
空席	くうせき
楽観	らっかん
記法	きほう
大関	おおぜき
道標	どうひょう|みちしるべ
特番	とくばん
終末	しゅうまつ
学位	がくい
議定	ぎじょう|ぎてい
照らす	てらす
申し付け	もうしつけ
特筆	とくひつ
成年	せいねん
兵力	へいりょく
流量	りゅうりょう
街づくり	まちづくり
白熱	はくねつ
要る	いる
固形	こけい
固まり	かたまり
愛らしい	あいらしい
覚める	さめる
塩化	えんか
伝言	でんごん
焼きたて	やきたて
白衣	はくい|びゃくい|びゃくえ
気付け	きづけ|きつけ
お札	おさつ|おふだ
水害	すいがい
塩味	しおあじ
用例	ようれい
位相	いそう
時差	じさ
愛す	あいす
指差し	ゆびさし
有望	ゆうぼう
連戦	れんせん
発令	はつれい
調印	ちょういん
治験	ちけん
都民	とみん
察知	さっち
農法	のうほう
未然	みぜん
置物	おきもの
要点	ようてん
極度	きょくど
愛しい	いとしい
欠く	かく
無茶苦茶	むちゃくちゃ
植え付け	うえつけ
悲観	ひかん
法学	ほうがく
分位	ぶんい
苦笑い	わらい|にがわらい
太夫	たゆう|だゆう
秋季	しゅうき
積む	つむ
府立	ふりつ
安静	あんせい
成り立ち	なりたち
日本的	にほんてき
魚類	ぎょるい
博し	はくし|ひろし
熱血	ねっけつ
治水	ちすい
号給	ごうきゅう
高熱	こうねつ
金城	きんじょう
公然	こうぜん
日課	にっか
満面	まんめん
焼き物	やきもの
少佐	しょうさ
焼失	しょうしつ
村民	そんみん
願書	がんしょ
鳥類	ちょうるい
求む	もとむ
単調	たんちょう
成し	なし
不毛	ふもう
梅雨入り	つゆいり
結びつき	むすびつき
月例	げつれい
各人	かくじん
湯治	とうじ
香る	かおる
芽生え	めばえ
飛車	ひしゃ|びしゃ
海戦	かいせん
流産	りゅうざん
連投	れんとう
同氏	どうし
産品	さんひん
欠落	けつらく
口径	こうけい
敗者	はいしゃ
建具	たてぐ
野良	のら
各位	かくい
祝賀	しゅくが
飛散	ひさん
固める	かためる
病変	びょうへん
不味い	まじい|まずい
功労	こうろう
外付け	そとづけ
城南	じょうなん
新芽	しんめ
初心	しょしん|うぶ
神官	しんかん
松葉	まつば
側近	そっきん
各部	かくぶ
友愛	ゆうあい
具材	ぐざい
包帯	ほうたい
例文	れいぶん
公司	こうし|こんす
所以	ゆえん
極まりない	きわまりない
うろ覚え	うろおぼえ
特注	とくちゅう
見栄え	みばえ
言い伝え	いいつたえ
差す	さす
寒冷	かんれい
大敗	たいはい
見覚え	みおぼえ
小便	しょうべん
無機	むき
欠品	けっぴん
受付け	うけつけ
改ざん	かいざん
産出	さんしゅつ
外周	がいしゅう
司祭	しさい
伝記	でんき
建前	たてまえ
物置	ものおき
内戦	ないせん
試着	しちゃく
残雪	ざんせつ
単元	たんげん
城下	じょうか
果肉	かにく
電信	でんしん
和英	わえい
業法	ぎょうほう
自伝	じでん
新法	しんぽう
同席	どうせき
刷新	さっしん
不運	ふうん
焼き上げ	やきあげ
積算	せきさん
連隊	れんたい
県連	けんれん
高低	こうてい|たかひく
冷える	ひえる
最早	もはや
立て続け	たてつづけ
送受信	そうじゅしん
年賀	ねんが
社労	しゃろう
大成	たいせい
発案	はつあん
冷水	ひやみず|れいすい
事変	じへん
完治	かんち
民意	みんい
安産	あんざん
代官	だいかん
清酒	せいしゅ
折れる	おれる
光熱	こうねつ
投信	とうしん
各店	かくてん
付帯	ふたい
伝来	でんらい
完食	かんしょく
年初	ねんしょ
印字	いんじ
極み	きわみ
静けさ	しずけさ
季語	きご
低速	ていそく
連なる	つらなる
不覚	ふかく
投機	とうき
約定	やくじょう
冷やす	ひやす
結社	けっしゃ
清らか	きよらか
利く	きく
落差	らくさ
同種	どうしゅ
覚書	おぼえがき
列挙	れっきょ
日照	にっしょう
清め	きよめ|すめ
祝い金	いわいきん
大漁	たいりょう
宮司	ぐうじ
戦える	たたかえる
お産	おさん
高官	こうかん
前置き	まえおき
石器	せっき
月別	つきべつ
類する	るいする
兆候	ちょうこう
牧草	ぼくそう
試用	しよう
円満	えんまん
極悪	ごくあく
無口	むくち
参上	さんじょう
群落	ぐんらく
散らす	ちらす
不順	ふじゅん
前兆	ぜんちょう
置き去り	おきさり|おきざり
来季	らいき
長続き	ながつづき
変人	へんじん
不向き	ふむき
好転	こうてん
未練	みれん
照り	てり|でり
加味	かみ
芸者	げいしゃ
府内	ふない
集成	しゅうせい
成虫	せいちゅう
表札	ひょうさつ
材木	ざいもく
漁村	ぎょそん
体積	たいせき
加水	かすい
積分	せきぶん
漁場	ぎょじょう|ぎょば|りょうば
入隊	にゅうたい
続投	ぞくとう
切り札	きりふだ
成り行き	なりゆき
心地良い	ここちよい
種まき	たねまき
同類	どうるい
新参	しんざん
熱唱	ねっしょう
無色	むしょく
送別	そうべつ
泣かせ	なかせ
変調	へんちょう
害する	がいする
察する	さっする
千種	ちぐさ
無実	むじつ
手伝う	てつだう|てつどう
品位	ひんい
残せる	のこせる
世辞	せじ
買い付け	かいつけ
次官	じかん
山積み	やまづみ
借り入れ	かりいれ
交信	こうしん
選りすぐり	よりすぐり|えりすぐり
小隊	しょうたい
前例	ぜんれい
家老	かろう|がろう
十億	じゅうおく
固まる	かたまる
小松菜	こまつな
置場	おきば
顔料	がんりょう
