情報	じょうほう
講義	こうぎ
現金	げんきん
検定	けんてい
性質	せいしつ
衛生	えいせい
過ぎる	よぎる|すぎる
統計	とうけい
造り	つくり|づくり
査定	さてい
広報	こうほう
応用	おうよう
受講	じゅこう
演技	えんぎ
食堂	しょくどう|じきどう
仏教	ぶっきょう
入居	にゅうきょ
判定	はんてい
小型	こがた
観測	かんそく
在住	ざいじゅう
防衛	ぼうえい
要因	よういん
在日	ざいにち
総理	そうり
永遠	えいえん|とわ
再現	さいげん
救急	きゅうきゅう
再開	さいかい
現役	げんえき
出現	しゅつげん
移行	いこう
予報	よほう
総務	そうむ
申告	しんこく
素人	しろうと
確率	かくりつ
主婦	しゅふ
新型	しんがた
提示	ていじ
余計	よけい
格好	かっこう|かっこ
容易	たやす|ようい
無効	むこう
留学	りゅうがく
予告	よこく
改造	かいぞう
条約	じょうやく
消防	しょうぼう
防災	ぼうさい
保全	ほぜん
特許	とっきょ
輸送	ゆそう
犯人	はんにん
有限	ゆうげん
編成	へんせい
容量	ようりょう
形状	けいじょう
余り	あまり
防ぐ	ふせぐ
幹部	かんぶ
勢力	せいりょく
開示	かいじ
修行	しゅぎょう
解放	かいほう
分布	ぶんぷ
保有	ほゆう
業績	ぎょうせき
幹事	かんじ
不可	ふか
応え	こたえ|いらえ
正解	せいかい
適正	てきせい
帰属	きぞく
付属	ふぞく
正常	せいじょう
主演	しゅえん
解散	かいさん
招待	しょうたい
過ごす	すごす
本質	ほんしつ
速報	そくほう
分解	ぶんかい
水準	すいじゅん
比べる	くらべる
経費	けいひ
暴力	ぼうりょく
往復	おうふく
輸出	ゆしゅつ
許し	ゆるし
大勢	おおぜい|たいせい|たいぜい
判明	はんめい
財団	ざいだん
週刊	しゅうかん
増し	まし
圧力	あつりょく
意義	いぎ
任意	にんい
実質	じっしつ
河川	かせん
逆転	ぎゃくてん
見解	けんかい
法則	ほうそく
保守	ほしゅ
本件	ほんけん
複製	ふくせい
正義	せいぎ
張り	はり|ばり|ぱり
得点	とくてん
賛成	さんせい
単独	たんどく
容器	ようき
点検	てんけん
酸素	さんそ
火災	かさい
花粉	かふん
移植	いしょく
総額	そうがく
相性	あいしょう
工程	こうてい
告白	こくはく
個室	こしつ
謝罪	しゃざい
制服	せいふく
職種	しょくしゅ
貿易	ぼうえき
婦人	ふじん|ぷじん
飼育	しいく
重複	じゅうふく|ちょうふく
愛情	あいじょう
財布	さいふ
酸化	さんか
軽減	けいげん
書士	しょし
刊行	かんこう
務め	つとめ
構想	こうそう
才能	さいのう
居住	きょじゅう
意志	いし
現れる	あらわれる
現行	げんこう
件数	けんすう
支える	ささえる|つかえる
防犯	ぼうはん
検出	けんしゅつ
省略	しょうりゃく
職務	しょくむ
財務	ざいむ
解体	かいたい
確信	かくしん
体質	たいしつ
説得	せっとく
史上	しじょう
保持	ほじ
告知	こくち
新刊	しんかん
雑談	ざつだん
戦士	せんし
正規	せいき
墓地	ぼち
境内	けいだい
寄り	より
規格	きかく
損失	そんしつ
加減	かげん
属性	ぞくせい
新設	しんせつ
構え	かまえ|がまえ
精度	せいど
高額	こうがく
複合	ふくごう
類似	るいじ
守備	しゅび
人格	じんかく
寄付	きふ
制定	せいてい
実務	じつむ
課税	かぜい
殺す	ころす
不快	ふかい
情熱	じょうねつ
真似	まね
一条	いちじょう
改修	かいしゅう
計測	けいそく
要件	ようけん
衛星	えいせい
再建	さいけん|さいこん
境界	きょうかい|きょうがい|けいかい
解明	かいめい
比率	ひりつ
木造	もくぞう
兵士	へいし
技能	ぎのう
無限	むげん
原告	げんこく
情勢	じょうせい
絶望	ぜつぼう
殺害	さつがい|せつがい
格差	かくさ
学術	がくじゅつ
接種	せっしゅ
肥料	ひりょう
暴走	ぼうそう
独り言	ひとりごと
武士	ぶし|もののふ
生態	せいたい
支出	ししゅつ
眼鏡	めがね|がんきょう
年寄り	としより|どしより
基金	ききん
答弁	とうべん
予備	よび
証言	しょうげん
混雑	こんざつ
団地	だんち
接客	せっきゃく
提言	ていげん
習得	しゅうとく
変態	へんたい
属する	ぞくする|しょくする
清潔	せいけつ
混合	こんごう
賞味	しょうみ
迷い	まよい
自演	じえん
個体	こたい
決断	けつだん
政令	せいれい
市営	しえい
不可欠	ふかけつ
再会	さいかい
増やす	ふやす
夢中	むちゅう
貸切	かしきり
出資	しゅっし
確かめ	たしかめ
適応	てきおう
修復	しゅうふく
養護	ようご
常連	じょうれん
演説	えんぜつ
住居	じゅうきょ
限度	げんど
水素	すいそ
復興	ふっこう
気象	きしょう
高価	こうか|たか|だか
液体	えきたい
学歴	がくれき
感性	かんせい
典型	てんけい
貯金	ちょきん
大賞	たいしょう
限る	かぎる
球団	きゅうだん
眼科	がんか
共演	きょうえん
救い	すくい
夫妻	ふさい
破損	はそん
不能	ふのう
識別	しきべつ
民営	みんえい
飼い主	かいぬし
減る	へる
移住	いじゅう
車検	しゃけん
苦情	くじょう
酒造	しゅぞう
破産	はさん
喜ぶ	よろこぶ
工務	こうむ
備考	びこう
告げ	つげ
案件	あんけん
演習	えんしゅう
復旧	ふっきゅう
復元	ふくげん
効く	きく
仮面	かめん
性別	せいべつ
横断	おうだん
中断	ちゅうだん
接近	せっきん
的確	てきかく|てっかく
校舎	こうしゃ
課程	かてい
易い	やすい|やしい
祖父	そふ|おおじ|じい|じじ
要領	ようりょう
国境	こっきょう|くにざかい
演じる	えんじる
先祖	せんぞ
月額	げつがく
上限	じょうげん
資材	しざい
経路	けいろ
保つ	たもつ|もつ
救う	すくう
仮想	かそう
断熱	だんねつ
標識	ひょうしき
本編	ほんぺん
減らし	へらし
停車	ていしゃ
血圧	けつあつ
主導	しゅどう
絶賛	ぜっさん
常時	じょうじ
入賞	にゅうしょう
任務	にんむ
特価	とっか
接着	せっちゃく
志望	しぼう
月刊	げっかん
建造	けんぞう
解答	かいとう
同居	どうきょ
応答	おうとう
永久	えいきゅう|とわ
祖母	そぼ|おば|ばば
完備	かんび
守護	しゅご
全額	ぜんがく
主任	しゅにん
適合	てきごう
燃焼	ねんしょう
営利	えいり
切断	せつだん
検察	けんさつ
消毒	しょうどく
実在	じつざい
実証	じっしょう
名義	めいぎ
減らす	へらす
良質	りょうしつ
解約	かいやく
不在	ふざい
増大	ぞうだい
務める	つとめる
技法	ぎほう
銀河	ぎんが
経歴	けいれき
経理	けいり
無職	ぶしょく|むしょく
交際	こうさい
軍団	ぐんだん
志向	しこう
採取	さいしゅ
快速	かいそく
断念	だんねん
半額	はんがく
比例	ひれい|ぴれい
混ん	こん|まじん
風情	ふぜい
必殺	ひっさつ
紀行	きこう
続編	ぞくへん
適度	てきど
再発	さいはつ
飼い	かい|がい
賛同	さんどう
辞任	じにん
招き	まねき
暗殺	あんさつ
歴代	れきだい
上質	じょうしつ
社団	しゃだん
水質	すいしつ
独身	どくしん
規程	きてい
電圧	でんあつ
再編	さいへん
団子	だんご
救助	きゅうじょ
鳥居	とりい
戦術	せんじゅつ
安価	あんか
友情	ゆうじょう
絶品	ぜっぴん
労務	ろうむ
中毒	ちゅうどく
接する	せっする
余地	よち
根性	こんじょう
複写	ふくしゃ
日刊	にっかん
燃費	ねんぴ
準用	じゅんよう
統制	とうせい
責め	せめ|ぜめ
立ち寄り	たちより
動脈	どうみゃく
所在	しょざい
情けない	なさけない
間接	かんせつ
特製	とくせい
代謝	たいしゃ
絶景	ぜっけい
基調	きちょう
防水	ぼうすい
木製	もくせい
移民	いみん
構図	こうず
採点	さいてん
許す	ゆるす
急性	きゅうせい
定額	ていがく|じょうがく
雑記	ざっき
運輸	うんゆ
同条	どうじょう
教職員	きょうしょくいん
制約	せいやく
外資	がいし
本堂	ほんどう
航海	こうかい
経つ	たつ
保安	ほあん
公布	こうふ
弁護	べんご
短編	たんぺん
単価	たんか
有価	ゆうか
留意	りゅうい
炭素	たんそ
提起	ていき
低減	ていげん
税制	ぜいせい
油断	ゆだん
留め	とどめ|とめ|どめ
前述	ぜんじゅつ
解禁	かいきん
税務	ぜいむ
述べる	のべる
悪質	あくしつ
漁師	りょうし
炭酸	たんさん
先程	さきほど
酸味	さんみ|すみ
公益	こうえき
統治	とうち|とうじ
告発	こくはつ
先制	せんせい
許容	きょよう
現に	げんに
体型	たいけい
会費	かいひ
残留	ざんりゅう
肥満	ひまん
燃える	もえる
招く	まねく
順序	じゅんじょ
増す	ます
安易	あんい
新興	しんこう
絶好	ぜっこう
急増	きゅうぞう
同情	どうじょう
基板	きばん
改築	かいちく
造形	ぞうけい
迷う	まよう
導く	みちびく
雑草	ざっそう
任命	にんめい
本能	ほんのう
引っ張り	ひっぱり
暴行	ぼうこう
領土	りょうど
効能	こうのう
上演	じょうえん
仏像	ぶつぞう
増税	ぞうぜい
設ける	もうける
税率	ぜいりつ
書評	しょひょう
初版	しょはん
低迷	ていめい
快感	かいかん
自在	じざい
可決	かけつ
和解	わかい
元祖	がんそ
物価	ぶっか
告げる	つげる
破れ	やぶれ|われ|やれ
自衛	じえい
性的	せいてき
材質	ざいしつ
居心地	いごこち
貸し出し	かしだし
任期	にんき
精進	しょうじん
製薬	せいやく
応える	こたえる
編み	あみ
武力	ぶりょく
粉末	ふんまつ
構い	かまい
犯行	はんこう
因子	いんし
住職	じゅうしょく
増進	ぞうしん
移設	いせつ
構内	こうない
倍率	ばいりつ
明示	めいじ
厚い	あつい|あちい
賞品	しょうひん
減額	げんがく
素晴らし	すばらし
快晴	かいせい
張る	はる|ばる
判る	わかる
護衛	ごえい
効力	こうりょく
衛門	えもん|えもんの
余談	よだん
接待	せったい
音質	おんしつ
実情	じつじょう
総研	そうけん
人件	じんけん
過失	かしつ
救出	きゅうしゅつ
特設	とくせつ
定価	ていか
移り	うつり
発現	はつげん
気の毒	きのどく
画質	がしつ
保留	ほりゅう
断然	だんぜん
大喜び	おおよろこび
心得	こころえ|こころう
率いる	ひきいる
築地	ついじ|つきじ
独り	ひとり
飼料	しりょう|かいりょう
前条	ぜんじょう
解る	わかる
理性	りせい
解く	とく|ほどく
功績	こうせき
製法	せいほう
物資	ぶっし
可愛らしい	かわいらしい
証人	しょうにん
心境	しんきょう
賞金	しょうきん
史料	しりょう
仮定	かてい
原価	げんか
伝授	でんじゅ
均一	きんいつ
測量	そくりょう
転移	てんい
河口	かこう|かわぐち
香具師	やし
素子	そし
気圧	きあつ
余分	よぶん
夢見	ゆめみ
日報	にっぽう
在学	ざいがく
価額	かがく
河原	かわら|がわら
長編	ちょうへん
支社	ししゃ
織り	おり
力士	りきし
有志	ゆうし
市政	しせい
色素	しきそ
留守	るす
断面	だんめん
貸付	かしつけ
提唱	ていしょう
在る	ある
防ぎ	ふせぎ
団長	だんちょう
増強	ぞうきょう
質感	しつかん
事象	じしょう
判例	はんれい
告示	こくじ
興行	こうぎょう
仮説	かせつ
過言	かげん|かごん
駅舎	えきしゃ
鉱山	こうざん
現物	げんぶつ
断言	だんげん
態勢	たいせい
編入	へんにゅう
格別	かくべつ
税額	ぜいがく
税法	ぜいほう
心情	しんじょう
証書	しょうしょ
協賛	きょうさん
作製	さくせい
委任	いにん
厚労	こうろう
法務	ほうむ
万能	ばんのう|まんのう
復習	ふくしゅう
健在	けんざい
採集	さいしゅう
選任	せんにん
備える	そなえる
倍増	ばいぞう
元素	げんそ
仮名	かな|かめい|がな|けみょう
団結	だんけつ
増設	ぞうせつ
損益	そんえき
無能	むのう
貧しい	まずしい
行程	こうてい
起因	きいん
散布	さんぷ
精力	せいりょく
判別	はんべつ
均等	きんとう
減量	げんりょう
義理	ぎり
知能	ちのう
後編	こうへん
雑魚	ざこ|じゃこ
前編	ぜんぺん
武道	ぶどう
受容	じゅよう
航路	こうろ
観賞	かんしょう
開講	かいこう
点在	てんざい
教団	きょうだん
精算	せいさん
墓石	はかいし|ぼせき
定評	ていひょう
特技	とくぎ
故意	こい
念仏	ねんぶつ|ねぶつ
正統	せいとう
地質	ちしつ|じしつ
演歌	えんか
法規	ほうき
団員	だんいん
悪夢	あくむ
総長	そうちょう
同志	どうし
鉱物	こうぶつ
在来	ざいらい
資質	ししつ
応対	おうたい
一眼	ひとめ
術後	じゅつご
営む	いとなむ
相応	そうおう|ふさわし
実演	じつえん
無罪	むざい
軽快	けいかい
情景	じょうけい
宿舎	しゅくしゃ
慣れる	なれる
人妻	ひとづま
公務	こうむ
高圧	こうあつ
質量	しつりょう
快楽	かいらく|けらく
入団	にゅうだん
破り	やぶり|わり
貸出	かしだし
国防	こくぼう
素顔	すがお
率直	そっちょく
義母	ぎぼ
造成	ぞうせい
知性	ちせい
不備	ふび
多額	たがく
牧師	ぼくし
法制	ほうせい
因果	いんが
有益	ゆうえき
昼過ぎ	ひるすぎ
人質	ひとじち
囲ん	かこん|めぐん
最寄	もより
常任	じょうにん
接点	せってん
混ぜる	まぜる
効き	きき
役職	やくしょく
評議	ひょうぎ
版画	はんが
毛布	もうふ
現職	げんしょく
安保	あんぽ
技師	ぎし
貸家	かしや
大河	たいが
経年	けいねん
移る	うつる
対比	たいひ
編曲	へんきょく
支所	ししょ
停電	ていでん
保温	ほおん
時価	じか
朝刊	ちょうかん
混入	こんにゅう
公営	こうえい
接合	せつごう
減税	げんぜい
造る	つくる|づくる
理容	りよう
格子	こうし|ごうし
支度	したく|じたく
解き	とき|ほどき
間際	まぎわ
演算	えんざん
相応しい	ふさわしい
過度	かど
迷子	まいご
図解	ずかい
最寄り	もより
加護	かご
過ごせる	すごせる
採り	とり|どり
挙句	あげく
故人	こじん
常温	じょうおん
右衛門	えもん
差額	さがく
総数	そうすう
塩素	えんそ
導き	みちびき
白河	はくが
重厚	じゅうこう
夕刊	ゆうかん
参政	さんせい
救命	きゅうめい
在り	あり
絶大	ぜつだい
武家	ぶけ
運勢	うんせい
半減	はんげん
幹線	かんせん
配備	はいび
祖国	そこく
公示	こうじ
調停	ちょうてい
伝導	でんどう
移す	うつす
応急	おうきゅう
都営	とえい
山脈	さんみゃく
国政	こくせい
防火	ぼうか
静脈	じょうみゃく
貧血	ひんけつ
反則	はんそく
体勢	たいせい
備品	びひん
採算	さいさん
格付け	かくづけ
公団	こうだん
織物	おりもの
原型	げんけい
提灯	ちょうちん|ぢょうちん
体格	たいかく
人情	にんじょう
精製	せいせい
外務	がいむ
金型	かながた
可動	かどう
公判	こうはん
乗務	じょうむ
採決	さいけつ
一報	いっぽう
政界	せいかい
新婦	しんぷ
雑学	ざつがく
楽団	がくだん
任せる	まかせる
受領	じゅりょう|ずりょう
実技	じつぎ
時効	じこう
失格	しっかく
出費	しゅっぴ
寄り道	よりみち
大師	だいし
基点	きてん
読解	どっかい
悪性	あくせい|あくしょう
史実	しじつ
通告	つうこく
個数	こすう
断定	だんてい
運河	うんが
地検	ちけん
基幹	きかん
断る	ことわる
確かめる	たしかめる
防具	ぼうぐ
酸性	さんせい
冷え性	ひえしょう
墓参り	はかまいり
現われ	あらわれ
有罪	ゆうざい
精子	せいし
貸借	たいしゃく
配属	はいぞく
運航	うんこう
国営	こくえい
眼差し	まなざし
志願	しがん
減速	げんそく
暴言	ぼうげん
築く	きずく|つく|づく
毒性	どくせい
県境	けんきょう|けんざかい
検事	けんじ
辞職	じしょく
囲む	かこむ
圧勝	あっしょう
迷宮	めいきゅう
公告	こうこく
会報	かいほう
武術	ぶじゅつ
駅弁	えきべん
造船	ぞうせん
寄せる	よせる
労災	ろうさい
経常	けいじょう
気質	かたぎ|きしつ
総勢	そうぜい
大仏	だいぶつ
演目	えんもく
中略	ちゅうりゃく
師事	しじ
寄る	よる
極限	きょくげん
求職	きゅうしょく
寄生	きせい
損保	そんぽ
適性	てきせい
肥大	ひだい
増額	ぞうがく
独断	どくだん
引き寄せ	ひきよせ
地価	ちか
検知	けんち
前衛	ぜんえい
混同	こんどう
中性	ちゅうせい
絶版	ぜっぱん
常務	じょうむ
転居	てんきょ
人脈	じんみゃく
祖先	そせん
血統	けっとう
構える	かまえる
飼う	かう|こう
過ち	あやまち
解読	かいどく
永住	えいじゅう
条文	じょうぶん
混在	こんざい
直営	ちょくえい
修士	しゅうし
断り	ことわり
学費	がくひ
責務	せきむ
似合い	にあい
眼下	がんか
欠損	けっそん
謝る	あやまる
適量	てきりょう
報復	ほうふく
絵師	えし
得する	とくする
新居	しんきょ
包囲	ほうい
変容	へんよう
信条	しんじょう
暗示	あんじ
暴落	ぼうらく
文脈	ぶんみゃく
自費	じひ
居間	いま
資する	しする
武者	むしゃ
師団	しだん
往来	おうらい
応力	おうりょく
氷河	ひょうが
暴動	ぼうどう
中型	ちゅうがた
境地	きょうち
常設	じょうせつ
混じり	まじり
設営	せつえい
心構え	こころがまえ
開演	かいえん
件名	けんめい
関税	かんぜい
枝豆	えだまめ
保養	ほよう
実費	じっぴ
耕作	こうさく
陽性	ようせい
営み	いとなみ
戦犯	せんぱん
実効	じっこう
発刊	はっかん
修業	しゅぎょう|しゅうぎょう
反復	はんぷく
常用	じょうよう
フッ素	ふっそ
電解	でんかい
対価	たいか
貯まる	たまる
義父	ぎふ
破る	やぶる|わる
精米	せいまい
近接	きんせつ
教祖	きょうそ
河童	かっぱ
仮設	かせつ
賞賛	しょうさん
病状	びょうじょう
準ずる	じゅんずる
国益	こくえき
指圧	しあつ
増減	ぞうげん
罪悪	ざいあく
造園	ぞうえん
画素	がそ
移管	いかん
立証	りっしょう
角質	かくしつ
応じる	おうじる
薬師	くすし|やくし
取寄せ	とりよせ
業態	ぎょうたい
上告	じょうこく
移入	いにゅう
共益	きょうえき
制圧	せいあつ
支流	しりゅう
修得	しゅうとく
解任	かいにん
分断	ぶんだん
総体	そうたい
品格	ひんかく
県政	けんせい
適格	てきかく|てっかく
招集	しょうしゅう
交易	こうえき
容積	ようせき
航行	こうこう
有能	ゆうのう
国保	こくほ
寄席	よせ
気絶	きぜつ
愛護	あいご
支柱	しちゅう
受益	じゅえき
政務	せいむ
木綿	もめん|きわた|もくめん
総統	そうとう
月経	げっけい
語句	ごく
現像	げんぞう
病態	びょうたい
法師	ほうし|ほし|ぼうし|ぼし
防音	ぼうおん
支局	しきょく
効用	こうよう
分厚い	ぶあつい|ぶあちい
在留	ざいりゅう
減価	げんか
領主	りょうしゅ
後任	こうにん
平常	へいじょう
比重	ひじゅう
在職	ざいしょく
死因	しいん
精液	せいえき
増築	ぞうちく
余程	よほど
慣習	かんしゅう
花弁	かべん|はなびら
官能	かんのう
精通	せいつう
旅費	りょひ
防寒	ぼうかん
個所	かしょ
重賞	じゅうしょう
良識	りょうしき
女史	じょし
精油	せいゆ
競演	きょうえん
測る	はかる
変質	へんしつ
神仏	しんぶつ|かみほとけ
電報	でんぽう
過大	かだい
ろ過	ろか
炭鉱	たんこう
現世	げんせ|げんせい
築城	ちくじょう
夢見る	ゆめみる
殺虫	さっちゅう
先導	せんどう
根幹	こんかん
後述	こうじゅつ
格言	かくげん
祖父母	そふぼ
古河	ふるかわ
勝率	しょうりつ
雑感	ざっかん
過労	かろう
合弁	ごうべん
教義	きょうぎ
製本	せいほん
増資	ぞうし
布教	ふきょう
禁断	きんだん
断固	だんこ
本性	ほんしょう|ほんせい
不可解	ふかかい
近衛	このえ|こんえ
賛美	さんび
下限	かげん
税関	ぜいかん
復刊	ふっかん
留置	りゅうち|とめおき
一句	いっく
責める	せめる
演題	えんだい
貸す	かす|がす
銅像	どうぞう
講堂	こうどう
送検	そうけん
常備	じょうび
迷路	めいろ
防護	ぼうご
災い	わざわい
談義	だんぎ
財界	ざいかい
明快	めいかい
風格	ふうかく
金賞	きんしょう
貸金	かしきん
桜木	さくらぎ
迷走	めいそう
雑音	ざつおん
節句	せっく|ぜっく
初演	しょえん
独学	どくがく
反逆	はんぎゃく
桜花	おうか|さくらばな
殺意	さつい
製鉄	せいてつ
総じて	そうじて
眼前	がんぜん
全編	ぜんぺん
往生	おうじょう
新旧	しんきゅう
農政	のうせい
相殺	そうさい|そうさつ
素手	すで
農耕	のうこう
国税	こくぜい
士官	しかん
移送	いそう
険しい	けわしい
断絶	だんぜつ
快挙	かいきょ
人殺し	ひとごろし
新報	しんぽう
囲い	かこい|がこい
版元	はんもと
上述	じょうじゅつ
動態	どうたい
検挙	けんきょ
布告	ふこく
外構	がいこう
仏具	ぶつぐ
調製	ちょうせい
快勝	かいしょう
居室	きょしつ
職歴	しょくれき
類型	るいけい
打破	だは
国務	こくむ
見張り	みはり
修道	しゅうどう
素質	そしつ
旧道	きゅうどう
貯める	ためる
断食	だんじき
新版	しんばん|しんぱん
横領	おうりょう
鉱石	こうせき
一因	いちいん
能率	のうりつ
得票	とくひょう
犯す	おかす
貧弱	ひんじゃく
図版	ずはん
具現	ぐげん
利率	りりつ
出航	しゅっこう
物性	ぶっせい
増量	ぞうりょう
受精	じゅせい
率先	そっせん
仏法	ぶっぽう
手応え	てごたえ
性器	せいき
歴任	れきにん
役務	えきむ
義歯	ぎし
石仏	せきぶつ|いしぼとけ
領地	りょうち
情け	なさけ
士気	しき
行き過ぎ	いきすぎ|ゆきすぎ
技量	ぎりょう
手造り	てづくり
内政	ないせい
暴れる	あばれる
差し支え	さしつかえ
食費	しょくひ
天災	てんさい
教示	きょうじ|きょうし
総て	すべて
成仏	じょうぶつ
長居	ながい
手技	しゅぎ
羽織	はおり|ばおり
定型	ていけい
絶句	ぜっく
健常	けんじょう
輸血	ゆけつ
増水	ぞうすい
師走	しわす
防備	ぼうび
講じる	こうじる
成型	せいけい
素早い	すばやい
眼球	がんきゅう
永続	えいぞく
禁物	きんもつ
県営	けんえい
増改築	ぞうかいちく
米粉	こめこ|べいふん
買得	かいどく
豊作	ほうさく
接戦	せっせん
加圧	かあつ
同性	どうせい
判事	はんじ
適時	てきじ
非行	ひこう
再興	さいこう
中絶	ちゅうぜつ
許せる	ゆるせる
一堂	いちどう
快調	かいちょう
確変	かくへん
油圧	ゆあつ
手際	てぎわ
護岸	ごがん
報知	ほうち
内職	ないしょく
可変	かへん
音程	おんてい
張り紙	はりがみ
書留	かきとめ
燃やす	もやす
設問	せつもん
貸し切り	かしきり
水性	すいせい|みずしょう
大判	おおばん
逆さ	さかさ
謝礼	しゃれい
等価	とうか
移り変わり	うつりかわり
打率	だりつ
混む	こむ
毒素	どくそ
公職	こうしょく
