嬉しい	うれしい
撫でる	なでる
お雛様	おひなさま
軟膏	なんこう
堰堤	えんてい
流暢	りゅうちょう
逢う	あう|おう
真鯛	まだい
吊り上げ	つりあげ
伽藍	がらん
鼻腔	びくう|びこう
杏仁	きょうにん|あんにん
圃場	ほじょう
大洲	おおす
訊く	きく
箪笥	たんす|だんす
芳醇	ほうじゅん
吠える	ほえる
蒲鉾	かまぼこ
強靭	きょうじん
太閤	たいこう
挽回	ばんかい
蝋燭	ろうそく
中洲	なかす
溜め息	ためいき
腹腔	ふっくう|ふっこう
喰らう	くらう
吊るし	つるし
蒔絵	まきえ
棟梁	とうりょう
肋骨	あばらぼね|ろっこつ
蜜柑	みかん
庄屋	しょうや
円錐	えんすい
殆んど	ほとんど
補填	ほてん
乳癌	にゅうがん
乃至	ないし
烏賊	いか
倦怠	けんたい
向日葵	ひまわり
田圃	たんぼ
飛沫	ひまつ|しぶき
僻地	へきち
恰好	かっこう|かっこ
哨戒	しょうかい
剥き出し	むきだし
轟音	ごうおん
花菖蒲	はなあやめ
醗酵	はっこう
蒼天	そうてん
俄然	がぜん
坐禅	ざぜん
曳き	ひき|びき
吾輩	わがはい
捺印	なついん
遠吠え	とおぼえ
仏陀	ぶつだ
繋げる	つなげる
撒く	まく
億劫	おっくう
稀少	きしょう
溜り	たまり|だまり
人狼	じんろう
胡瓜	きゅうり
爺ちゃん	じいちゃん
紫苑	しおん|じおん
琢磨	たくま
短篇	たんぺん
孔雀	くじゃく
綴じ	とじ
弛緩	しかん|ちかん
杏子	あんず
逢える	あえる
頚椎	けいつい
坐骨	ざこつ
馴れ	なれ
煤け	すすけ
凌ぐ	しのぐ
華僑	かきょう
睡蓮	すいれん
味噌汁	みそしる
口蹄疫	こうていえき
醍醐味	だいごみ
蕎麦屋	そばや
蛋白質	たんぱくしつ
獅子舞	ししまい
雛人形	ひなにんぎょう
水俣病	みなまたびょう
脆弱性	ぜいじゃくせい
今迄	いままで
仔犬	こいぬ
無垢材	むくざい
