見る	みる
青空	あおぞら
青山	せいざん
上田	じょうでん
年月	としつき|ねんげつ
土木	どぼく
中山	なかやま
立ち上げ	たちあげ
上手い	うまい
空き	あき|すき
本音	ほんね
青木	あおき
山下	さんか|やました
年が	ねんが
年中	ねんちゅう|ねんじゅう
中日	ちゅうにち|なかび
下がる	さがる
小学	しょうがく
下る	くだる
学力	がくりょく
田んぼ	たんぼ
天下	てんか|てんげ|でんか
川口	かわぐち
天ぷら	てんぷら
一目	いちもく|ひとめ
上る	あがる|のぼる
大した	たいした
八十	やそ
水中	すいちゅう
大山	たいさん|たいざん|だいせん
気づき	きづき
本名	ほんみょう
下ろし	おろし
五月	さつき
七夕	たなばた|しちせき
下さる	くださる
火山	かざん
空中	くうちゅう
中田	ちゅうでん
本田	ほんでん
夕日	ゆうひ
小山	こやま
一人一人	ひとりひとり
下がり	さがり
大名	だいみょう
名人	めいじん
本年	ほんねん
一口	ひとくち
下げる	さげる
大気	たいき
下山	げさん|げざん
大雨	おおあめ
先ず	まず
気づく	きづく
山中	さんちゅう|やまなか
出せる	だせる
大字	おおあざ|だいじ
気まま	きまま
手足	てあし|しゅそく
出入り	でいり|ではいり
白石	しろいし
金子	きんす
上空	じょうくう
中年	ちゅうねん
一人ひとり	ひとりひとり
気まぐれ	きまぐれ
本校	ほんこう
山手	やまて|やまのて
空手	からて|くうしゅ|そらで
生ん	うん|なん
目玉	めだま
気力	きりょく
足し	たし
立ち上がり	たちあがり
水田	すいでん|みずた
川上	かわかみ
見本	みほん
年上	としうえ
小生	しょうせい
手のひら	てのひら
本学	ほんがく
玉子	たまご
水上	すいじょう|みなかみ
花びら	はなびら
年より	としより|どしより
日の出	ひので
学べる	まなべる
月日	がっぴ|つきひ
本土	ほんど
年月日	ねんがっぴ
白人	はくじん
出土	しゅつど
休む	やすむ
いち早く	いちはやく
出生	しゅっしょう|しゅっせい
大小	だいしょう
生かす	いかす
空白	くうはく
生む	うむ
火力	かりょく
町名	ちょうめい
石けん	せっけん
大石	おおいし|だいせき
人中	じんちゅう|にんちゅう|ひとなか
上人	しょうにん
大川	おおかわ|だいせん
右上	みぎうえ
中立	ちゅうりつ
天文	てんもん
手づくり	てづくり
下し	おろし|くだし
下町	したまち
正に	まさに
日ごろ	ひごろ
大王	おおきみ|だいおう
天空	てんくう
年下	としした
玉ねぎ	たまねぎ
九月	ながつき
見どころ	みどころ
大木	たいぼく
村人	むらびと
力学	りきがく
大さじ	おおさじ
生き生き	いきいき
大して	たいして
大口	おおくち|おおぐち
下田	げでん
小雨	こさめ|しょうう
一大	いちだい
名入れ	ないれ
天下り	あまくだり
左上	ひだりうえ
土手	どて
小口	こくち|こぐち
天草	てんぐさ
夕べ	ゆうべ
人名	じんめい
名目	めいもく|みょうもく
見てくれ	みてくれ
金山	かなやま|きんざん
人びと	ひとびと
十字	じゅうじ
ほうれん草	ほうれんそう
草花	くさばな
右下	みぎした
大げさ	おおげさ
右足	みぎあし
生ずる	しょうずる
文中	ぶんちゅう
左足	ひだりあし
手口	てぐち
一足	いっそく|ひとあし
足音	あしおと
生み	うみ
雨天	うてん
町立	ちょうりつ
人力	じんりき|じんりょく
下水	げすい|したみず
下見	したみ
校正	こうせい
手すり	てすり
水木	みずき
先人	せんじん
大に	おおいに
山村	さんそん
日にち	ひにち
草木	くさき|そうもく
雨水	あまみず|うすい
月中	げっちゅう
山車	だし|やまぐるま
立花	りっか
大いなる	おおいなる
山川	さんせん|やまかわ|やまがわ
七五三	しちごさん
王女	おうじょ
名山	めいざん
九九	くく
車中	しゃちゅう
小町	こまち
山林	さんりん
本山	ほんざん
手がける	てがける
気さく	きさく
立ち入り	たちいり
左下	ひだりした
見ごろ	みごろ
名水	めいすい
人あたり	ひとあたり
大金	たいきん|おおがね
大空	おおぞら
生きがい	いきがい
手がかり	てがかり
目先	めさき
人文	じんぶん|じんもん
花や	はなや
あだ名	あだな
見立て	みたて
一八	いちはつ
竹林	たけばやし|ちくりん
白金	しろがね|はっきん
正し	ただし|まさし
名字	みょうじ
生れ	うまれ|なれ
と金	ときん
人出	ひとで
人手	ひとで
手ごろ	てごろ
大まか	おおまか
三男	さんなん
小人	こども|こびと|しょうじん|しょうにん
と中	とちゅう
出だし	でだし
先手	せんて|さきて
山ほど	やまほど
下ろす	おろす
出ず	いず
下校	げこう
手ぬぐい	てぬぐい
足下	あしもと|そっか
水虫	みずむし
一休み	ひとやすみ
生える	はえる
下りる	おりる
木目	きめ|もくめ
水気	みずけ|すいき
年ごろ	としごろ
車や	くるまや
月見	つきみ
水草	みずくさ|すいそう
山上	さんじょう
出先	でさき
生花	いけばな|せいか
一手	いって
二子	ふたこ|ふたご
手先	てさき
下す	おろす|くだす
一一	いちいち
町中	まちなか
お年玉	おとしだま
四天王	してんのう
一円	いちえん
日日	にちにち|ひにち|ひび
正気	せいき|しょうき
見せかけ	みせかけ
一気	いっき
小一	しょういち
水車	すいしゃ|みずぐるま
サラ金	さらきん
小さじ	こさじ
一六	いちろく
生い立ち	おいたち
生きもの	いきもの
天上	てんじょう
小ぶり	こぶり
ケ月	かげつ
雨上がり	あめあがり
見出す	みいだす
天王	てんおう|てんのう|ちょのわん
石山	いしやま
バイト先	ばいとさき
手本	てほん|でほん
出入り口	でいりぐち
天の川	あまのがわ
目下	めした|もっか
木立	こだち
つま先	つまさき
はみ出し	はみだし
目つき	めつき
出水	しゅっすい|でみず
白子	しらこ|しらす|しろこ
下ネタ	しもねた
むき出し	むきだし
火花	ひばな
水力	すいりょく
出し入れ	だしいれ
名手	めいしゅ
小石	こいし
先天	せんてん
生かせる	いかせる
月下	げっか
空っぽ	からっぽ
足りる	たりる
先立ち	さきだち
日月	じつげつ
九十九	つくも
火口	かこう|ひぐち|ほくち
生ゴミ	なまごみ
白木	しらき|しろき
五目	ごもく
一名	いちめい
ちょっと見	ちょっとみ
出入口	でいりぐち
木の下	このした|このもと
水生	すいせい
文人	ぶんじん
生ごみ	なまごみ
山水	さんすい|やまみず
早口	はやくち|はやぐち
休める	やすめる
見ごたえ	みごたえ
気がかり	きがかり
入山	にゅうざん
水やり	みずやり
花月	かげつ
子女	しじょ
四六	しろく
中空	ちゅうくう|なかぞら
学名	がくめい
目の下	めのした
人となり	ひととなり
早目	はやめ
生まれつき	うまれつき
本木	もとき
天子	てんし
白玉	しらたま|はくぎょく
女中	じょちゅう
水玉	みずたま
大目	おおめ
耳より	みみより
日あたり	ひあたり
水口	みずぐち|みなくち
足す	たす
足る	たる
山の手	やまのて
竹の子	たけのこ
空く	あく|すく|むなしく
水まわり	みずまわり
出火	しゅっか
赤木	あかぎ
花王	かおう
草むら	くさむら
目白	めじろ
町人	ちょうにん|まちびと
お目見え	おめみえ
赤子	あかご|せきし
山名	さんめい
女人	にょにん
大人しい	おとなしい
大日	だいにち
水月	すいげつ
天女	てんにょ
入校	にゅうこう
本立て	ほんたて
ひと月	ひとつき
手下	てか|てした
人ごみ	ひとごみ
口先	くちさき
七草	ななくさ
夕立	ゆうだち
気まずい	きまずい
足あと	あしあと
正す	ただす
右目	みぎめ
ひと目	ひとめ
手ぶら	てぶら
人だかり	ひとだかり
大本	おおもと|たいほん
花木	かぼく|はなき
三十日	みそか
生ける	いける
小花	こばな
立木	たちき|りゅうぼく
左目	ひだりめ
二八	にはち
中二	ちゅうに
日出	にっしゅつ
ブナ林	ぶなばやし
金目	かねめ|きんめ
大大	だいだい
出玉	でだま
白水	しろみず
中火	ちゅうび
森づくり	もりづくり
ちびっ子	ちびっこ
天日	てんぴ|てんじつ
出金	しゅっきん
四大	しだい
名月	めいげつ
口出し	くちだし
見えん	みえん|まみえん
三五	さんご
水子	みずこ|みずご
休校	きゅうこう
糸口	いとぐち
先見	せんけん|さきみ
でっち上げ	でっちあげ
雨音	あまおと
日本人	にほんじん
小学校	しょうがっこう
中学校	ちゅうがっこう
小学生	しょうがくせい
中学生	ちゅうがくせい
大人気	だいにんき
大学生	だいがくせい
子犬	こいぬ
大文字	おおもじ|だいもんじ
女子大	じょしだい
小文字	こもじ
生年月日	せいねんがっぴ
学校名	がっこうめい
天文学	てんもんがく
二人目	ふたりめ
空気中	くうきちゅう
大日本	だいにっぽん|だいにほん
日本円	にほんえん
大先生	だいせんせい
大学校	だいがっこう
一足先	ひとあしさき
