地域	ちいき
激増	げきぞう
目論見	もくろみ
処する	しょする
小腸	しょうちょう
裁決	さいけつ
恩給	おんきゅう
吸気	きゅうき
吸い物	すいもの
水郷	すいきょう|すいごう
異種	いしゅ
血筋	ちすじ
紅梅	こうばい
直訳	ちょくやく
敬礼	けいれい
洗い場	あらいば
蔵人	くらびと|くろうど|くらうどの|くらんど
取り巻き	とりまき
一党	いっとう
誌面	しめん
裁く	さばく
未亡人	みぼうじん
裏付ける	うらづける
同窓	どうそう
誤算	ごさん
誌上	しじょう
若草	わかくさ
返納	へんのう
聖歌	せいか
動乱	どうらん
大脳	だいのう
射手	いて|いで|しゃしゅ
助詞	じょし
腸管	ちょうかん
表裏	ひょうり|おもてうら
律法	りっぽう
物干し	ものほし
探し物	さがしもの
初段	しょだん
回覧	かいらん
退化	たいか
裏目	うらめ
預入	あずけいれ
表敬	ひょうけい
総論	そうろん
砂場	すなば
骨子	こっし
退出	たいしゅつ
善行	ぜんこう
工賃	こうちん
翌週	よくしゅう
名将	めいしょう
腹ごしらえ	はらごしらえ
痛み止め	いたみどめ
財宝	ざいほう
上皇	じょうこう
ポイ捨て	ぽいすて
夏至	げし
割引き	わりびき
幼年	ようねん
前段	ぜんだん
前奏	ぜんそう
町域	ちょういき
射す	さす
著作権	ちょさくけん
誕生日	たんじょうび
障害者	しょうがいしゃ
看護師	かんごし
私達	わたしたち
専門店	せんもんてん
担当者	たんとうしゃ
専門家	せんもんか
容疑者	ようぎしゃ
遺伝子	いでんし
従業員	じゅうぎょういん
温暖化	おんだんか
郵便局	ゆうびんきょく
裁判所	さいばんしょ|さいばんじょ
大規模	だいきぼ
冷蔵庫	れいぞうこ
子供達	こどもたち
選手権	せんしゅけん
経済的	けいざいてき
私自身	わたしじしん
補助金	ほじょきん
価値観	かちかん
航空券	こうくうけん
放射線	ほうしゃせん
展覧会	てんらんかい
衆議院	しゅうぎいん
展示会	てんじかい
映画館	えいがかん
存在感	そんざいかん
検討中	けんとうちゅう
危険性	きけんせい
専門医	せんもんい
候補者	こうほしゃ
演奏会	えんそうかい
警察官	けいさつかん
著作物	ちょさくぶつ
小規模	しょうきぼ
時刻表	じこくひょう
同窓会	どうそうかい
難易度	なんいど
裁判官	さいばんかん
経済学	けいざいがく
宅配便	たくはいびん
評論家	ひょうろんか
住宅街	じゅうたくがい
警察署	けいさつしょ
住宅地	じゅうたくち
映画化	えいがか
領収書	りょうしゅうしょ
専門的	せんもんてき
忘年会	ぼうねんかい
勤務地	きんむち
情報誌	じょうほうし
看護婦	かんごふ
立候補	りっこうほ
裁判員	さいばんいん
論理的	ろんりてき
時代劇	じだいげき
筋肉痛	きんにくつう
映画祭	えいがさい
最高裁	さいこうさい
展示場	てんじじょう
将来的	しょうらいてき
灰色	はいいろ
所有権	しょゆうけん
翌営業日	よくえいぎょうび
非常勤	ひじょうきん
生態系	せいたいけい
写真展	しゃしんてん
危機感	ききかん
一覧表	いちらんひょう
退職金	たいしょくきん
内視鏡	ないしきょう
経験値	けいけんち
呼吸器	こきゅうき
指揮者	しきしゃ
神経痛	しんけいつう
週刊誌	しゅうかんし
電磁波	でんじは
加盟店	かめいてん
税務署	ぜいむしょ
有権者	ゆうけんしゃ
障害児	しょうがいじ
外資系	がいしけい
従量制	じゅうりょうせい
最優先	さいゆうせん
参政権	さんせいけん
従事者	じゅうじしゃ
何枚	なんまい
理論的	りろんてき
準優勝	じゅんゆうしょう
温泉郷	おんせんきょう
乗車券	じょうしゃけん
訪問者	ほうもんしゃ
特派員	とくはいん
宗教的	しゅうきょうてき
神秘的	しんぴてき
接骨院	せっこついん
予約権	よやくけん
財産権	ざいさんけん
座談会	ざだんかい
衆院選	しゅういんせん
警備員	けいびいん
否定的	ひていてき
作品展	さくひんてん
貴金属	ききんぞく
勤務先	きんむさき
再認識	さいにんしき
背番号	せばんごう
再就職	さいしゅうしょく
負担金	ふたんきん
温泉街	おんせんがい
一段落	いちだんらく
消防署	しょうぼうしょ
対処法	たいしょほう
放射性	ほうしゃせい
高収入	こうしゅうにゅう
批判的	ひはんてき
指揮官	しきかん
小冊子	しょうさっし
協奏曲	きょうそうきょく
商品券	しょうひんけん
座布団	ざぶとん
専門職	せんもんしょく
方法論	ほうほうろん
郵便物	ゆうびんぶつ
創業者	そうぎょうしゃ
代名詞	だいめいし
操作性	そうさせい
裁判長	さいばんちょう
脳卒中	のうそっちゅう
情報源	じょうほうげん
収容所	しゅうようじょ
脳神経	のうしんけい
展示室	てんじしつ
反対派	はんたいは
放射能	ほうしゃのう
重要視	じゅうようし
入場券	にゅうじょうけん
血糖値	けっとうち
宇宙船	うちゅうせん
全盛期	ぜんせいき
洗面所	せんめんじょ
整理券	せいりけん
危険物	きけんぶつ
権力者	けんりょくしゃ
純利益	じゅんりえき
上映会	じょうえいかい
優先的	ゆうせんてき
専門性	せんもんせい
博覧会	はくらんかい
法律上	ほうりつじょう
乳製品	にゅうせいひん
少数派	しょうすうは
諸外国	しょがいこく
開幕戦	かいまくせん
時系列	じけいれつ
最盛期	さいせいき
平均値	へいきんち
金銭的	きんせんてき
臨場感	りんじょうかん
感染者	かんせんしゃ
特別展	とくべつてん
深呼吸	しんこきゅう
就職先	しゅうしょくさき
納税者	のうぜいしゃ
諸事情	しょじじょう
水蒸気	すいじょうき
障害物	しょうがいぶつ
再検討	さいけんとう
天皇制	てんのうせい
純米酒	じゅんまいしゅ
正統派	せいとうは
染色体	せんしょくたい
私生活	しせいかつ
主導権	しゅどうけん
段階的	だんかいてき
選挙権	せんきょけん
未確認	みかくにん
優勝者	ゆうしょうしゃ
議決権	ぎけつけん
天守閣	てんしゅかく
心臓病	しんぞうびょう
基準値	きじゅんち
意欲的	いよくてき
死亡率	しぼうりつ
将来性	しょうらいせい
可視化	かしか
割引券	わりびきけん
対応策	たいおうさく
処分場	しょぶんじょう
観覧車	かんらんしゃ
演奏家	えんそうか
革新的	かくしんてき
合衆国	がっしゅうこく
大聖堂	だいせいどう
独創的	どくそうてき
問題視	もんだいし
備忘録	びぼうろく
討論会	とうろんかい
純資産	じゅんしさん
月刊誌	げっかんし
創造性	そうぞうせい
従業者	じゅうぎょうしゃ
創造的	そうぞうてき
視覚的	しかくてき
体系的	たいけいてき
勤労者	きんろうしゃ
優等生	ゆうとうせい
届出書	とどけでしょ
太陽系	たいようけい
実力派	じつりょくは
形容詞	けいようし
親孝行	おやこうこう
広葉樹	こうようじゅ
映像化	えいぞうか
加盟国	かめいこく
伝染病	でんせんびょう
遊覧船	ゆうらんせん
反射的	はんしゃてき
探査機	たんさき
優位性	ゆういせい
創始者	そうししゃ
進化論	しんかろん
定期券	ていきけん
生演奏	なまえんそう
預言者	よげんしゃ
小論文	しょうろんぶん
経済力	けいざいりょく
果樹園	かじゅえん
深刻化	しんこくか
洗面台	せんめんだい
危険度	きけんど
生理痛	せいりつう
不純物	ふじゅんぶつ
人形劇	にんぎょうげき
将軍家	しょうぐんけ
危機的	ききてき
物産展	ぶっさんてん
著作者	ちょさくしゃ
街路樹	がいろじゅ
再処理	さいしょり
退職後	たいしょくご
特許権	とっきょけん
宣教師	せんきょうし
看護士	かんごし
雨模様	あめもよう
下腹部	かふくぶ
神経系	しんけいけい
借地権	しゃくちけん
高密度	こうみつど
熱処理	ねつしょり
来訪者	らいほうしゃ
負傷者	ふしょうしゃ
総裁選	そうさいせん
退職者	たいしょくしゃ
独裁者	どくさいしゃ
四重奏	しじゅうそう
誕生会	たんじょうかい
創造力	そうぞうりょく
貴重品	きちょうひん
券売機	けんばいき
多数派	たすうは
訪問着	ほうもんぎ
演奏者	えんそうしゃ
過激派	かげきは
延長線	えんちょうせん
当日券	とうじつけん
自尊心	じそんしん
広報誌	こうほうし
保存料	ほぞんりょう
勤務医	きんむい
異次元	いじげん
展開中	てんかいちゅう
呼吸法	こきゅうほう
革命的	かくめいてき
経済性	けいざいせい
担当相	たんとうしょう
参拝者	さんぱいしゃ
経済界	けいざいかい
拡張子	かくちょうし
死亡者	しぼうしゃ
幼少期	ようしょうき
大納言	だいなごん
針葉樹	しんようじゅ
横断幕	おうだんまく
背景色	はいけいしょく
簡素化	かんそか
負担額	ふたんがく
幼児期	ようじき
回数券	かいすうけん
自衛権	じえいけん
批評家	ひひょうか
担当医	たんとうい
水資源	みずしげん
深層水	しんそうすい
降水量	こうすいりょう
保守派	ほしゅは
展示物	てんじぶつ
用心棒	ようじんぼう
同盟国	どうめいこく
商標権	しょうひょうけん
技術系	ぎじゅつけい
